animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A845461,Max,2021-10-31T18:56:00.000,2021-10-31T18:56:00.000,2020-05-01T00:00:00.000,Adoption,Dog,Intact Male,1 year,Beagle/Chihuahua Shorthair,Red/White,
A845367,"Juice Box ""Jb""",2021-10-31T17:51:00.000,2021-10-31T17:51:00.000,2017-10-28T00:00:00.000,Return to Owner,Dog,Neutered Male,4 years,Pit Bull,White/Brown,
A844571,Saint,2021-10-31T17:28:00.000,2021-10-31T17:28:00.000,2020-10-17T00:00:00.000,Adoption,Dog,Neutered Male,1 year,German Shorthair Pointer/Catahoula,Brown Merle/White,
A684713,Magneto,2021-10-31T16:55:00.000,2021-10-31T16:55:00.000,2014-06-05T00:00:00.000,Adoption,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black/White,
A845471,845471,2021-10-31T15:48:00.000,2021-10-31T15:48:00.000,2021-10-21T00:00:00.000,Transfer,Cat,Intact Female,1 weeks,Domestic Shorthair,Black,Partner
A843414,*Mary,2021-10-31T15:28:00.000,2021-10-31T15:28:00.000,2021-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,
A843415,*Sarah,2021-10-31T15:28:00.000,2021-10-31T15:28:00.000,2021-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,
A844575,,2021-10-31T15:26:00.000,2021-10-31T15:26:00.000,2019-10-17T00:00:00.000,Transfer,Bird,Unknown,2 years,Parakeet,White/Blue,Partner
A844576,,2021-10-31T15:26:00.000,2021-10-31T15:26:00.000,2019-10-17T00:00:00.000,Transfer,Bird,Unknown,2 years,Parakeet,White/Blue,Partner
A844578,,2021-10-31T15:26:00.000,2021-10-31T15:26:00.000,2019-10-17T00:00:00.000,Transfer,Bird,Unknown,2 years,Parakeet,White/Blue,Partner
A844577,,2021-10-31T15:26:00.000,2021-10-31T15:26:00.000,2019-10-17T00:00:00.000,Transfer,Bird,Unknown,2 years,Parakeet,White/Blue,Partner
A845360,Duke,2021-10-31T15:25:00.000,2021-10-31T15:25:00.000,2019-10-28T00:00:00.000,Adoption,Dog,Neutered Male,2 years,English Coonhound Mix,Blue Tick/White,
A845486,Rosie,2021-10-31T14:28:00.000,2021-10-31T14:28:00.000,2020-04-30T00:00:00.000,Return to Owner,Dog,Intact Female,1 year,Pit Bull,Brown,
A845488,Zoey,2021-10-31T14:28:00.000,2021-10-31T14:28:00.000,2021-03-03T00:00:00.000,Return to Owner,Dog,Intact Female,7 months,German Shepherd,Brown/Black,
A844203,,2021-10-31T12:31:00.000,2021-10-31T12:31:00.000,2021-09-06T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Black,Partner
A844202,,2021-10-31T12:31:00.000,2021-10-31T12:31:00.000,2021-09-06T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Black,Partner
A844200,,2021-10-31T12:29:00.000,2021-10-31T12:29:00.000,2021-09-06T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Blue,Partner
A845217,A845217,2021-10-31T12:28:00.000,2021-10-31T12:28:00.000,2021-05-27T00:00:00.000,Transfer,Dog,Intact Female,5 months,Great Pyrenees Mix,White,Partner
A844198,,2021-10-31T12:28:00.000,2021-10-31T12:28:00.000,2021-09-06T00:00:00.000,Transfer,Cat,Intact Male,1 month,Domestic Shorthair,Blue,Partner
A771583,Pirata,2021-10-31T11:00:00.000,2021-10-31T11:00:00.000,2014-10-31T00:00:00.000,Died,Dog,Neutered Male,7 years,Labrador Retriever/Great Dane,White/Brown,Emergency
A826900,Dusty,2021-10-30T18:41:00.000,2021-10-30T18:41:00.000,2016-12-08T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Pit Bull,Black/White,
A840220,Ace,2021-10-30T18:27:00.000,2021-10-30T18:27:00.000,2019-08-04T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,
A845445,Waylen,2021-10-30T17:29:00.000,2021-10-30T17:29:00.000,2019-10-30T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Labrador Retriever,Black/White,
A845156,Biz,2021-10-30T17:14:00.000,2021-10-30T17:14:00.000,2021-07-26T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Blue,
A845065,*Faroh,2021-10-30T17:11:00.000,2021-10-30T17:11:00.000,2021-04-25T00:00:00.000,Transfer,Dog,Intact Male,6 months,Chow Chow,Blue,Partner
A845020,Kilo,2021-10-30T17:09:00.000,2021-10-30T17:09:00.000,2011-10-26T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Dachshund Longhair Mix,Brown,
A843892,*Pepper,2021-10-30T16:59:00.000,2021-10-30T16:59:00.000,2021-08-25T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Foster
A843893,*Sandy,2021-10-30T16:57:00.000,2021-10-30T16:57:00.000,2021-08-25T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,Foster
A842470,*Pumpkin,2021-10-30T16:54:00.000,2021-10-30T16:54:00.000,2021-08-09T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Foster
A843895,*Peanut,2021-10-30T16:52:00.000,2021-10-30T16:52:00.000,2021-08-25T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,Foster
A843894,*Finn,2021-10-30T16:50:00.000,2021-10-30T16:50:00.000,2021-08-25T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Foster
A842352,*Mo,2021-10-30T16:46:00.000,2021-10-30T16:46:00.000,2021-08-11T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,Foster
A842745,*Mocha,2021-10-30T16:39:00.000,2021-10-30T16:39:00.000,2021-08-30T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Brown Tabby,Foster
A842744,*Cinnamon,2021-10-30T16:38:00.000,2021-10-30T16:38:00.000,2021-08-30T00:00:00.000,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair,Orange Tabby/White,Foster
A845459,,2021-10-30T16:15:00.000,2021-10-30T16:15:00.000,2021-10-04T00:00:00.000,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair,Gray Tabby,Partner
A845458,,2021-10-30T16:15:00.000,2021-10-30T16:15:00.000,2021-10-04T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair,Gray Tabby,Partner
A845460,,2021-10-30T16:15:00.000,2021-10-30T16:15:00.000,2021-10-04T00:00:00.000,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,Partner
A844433,*Ebony,2021-10-30T16:02:00.000,2021-10-30T16:02:00.000,2019-10-15T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,
A845110,*Betty,2021-10-30T16:02:00.000,2021-10-30T16:02:00.000,2019-10-25T00:00:00.000,Adoption,Other,Unknown,2 years,Lionhead Mix,White/Tan,
A845412,Gizmo,2021-10-30T15:37:00.000,2021-10-30T15:37:00.000,2011-10-29T00:00:00.000,Return to Owner,Dog,Intact Male,10 years,Maltese,White,
A842878,Sunshine,2021-10-30T15:07:00.000,2021-10-30T15:07:00.000,1991-09-22T00:00:00.000,Transfer,Bird,Intact Female,30 years,Macaw,Blue/Gold,Partner
A598832,Boogers,2021-10-30T14:37:00.000,2021-10-30T14:37:00.000,2010-10-11T00:00:00.000,Return to Owner,Cat,Neutered Male,11 years,Domestic Shorthair,Brown Tabby/White,
A845422,Gambino,2021-10-30T13:01:00.000,2021-10-30T13:01:00.000,2019-10-29T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Pit Bull,Red/White,
A844620,*Laszlo,2021-10-30T12:48:00.000,2021-10-30T12:48:00.000,2021-08-23T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Black,
A843267,A843267,2021-10-30T12:34:00.000,2021-10-30T12:34:00.000,2021-08-19T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black,
A844234,Max,2021-10-30T12:24:00.000,2021-10-30T12:24:00.000,2019-10-13T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/Tan,
A845401,Spike,2021-10-30T11:49:00.000,2021-10-30T11:49:00.000,2020-10-29T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,German Shepherd Mix,Tan/Black,
A844784,Pelusa,2021-10-30T11:26:00.000,2021-10-30T11:26:00.000,2010-10-26T00:00:00.000,Return to Owner,Dog,Intact Female,11 years,Yorkshire Terrier Mix,Brown,
A843233,*Emmett,2021-10-30T09:24:00.000,2021-10-30T09:24:00.000,2019-10-27T00:00:00.000,Transfer,Dog,Intact Male,2 years,Pit Bull,Brown,Partner
